hexID,species,LAT,LON,NumObs,kingdom
3314,Chordaria flagelliformis,57.053414,-135.349681,1,Chromista
3314,Chordaria flagelliformis,57.064262,-135.339613,2,Chromista
3314,Chordaria flagelliformis,57.133333,-135.25,1,Chromista
3314,Chordaria flagelliformis,57.142508,-135.332624,1,Chromista
3314,Chromista,57.048698,-135.32314,33,Chromista
3314,Cibicidoides dispars,56.783025,-135.11674,1,Chromista
3314,Coilodesme californica,57.012267,-135.687417,1,Chromista
3314,"Colpomenia (Endlicher) Derbès & Solier, 1851",57.022499,-135.35387,2,Chromista
3314,"Colpomenia (Endlicher) Derbès & Solier, 1851",57.048698,-135.32314,2,Chromista
3314,Colpomenia peregrina,57.000792,-135.768869,1,Chromista
3314,Colpomenia peregrina,57.01947,-135.244571,1,Chromista
3314,Colpomenia peregrina,57.019615,-135.245388,1,Chromista
3314,Colpomenia peregrina,57.034639,-135.314025,1,Chromista
3314,Colpomenia peregrina,57.035111,-135.315028,1,Chromista
3314,Colpomenia peregrina,57.047898,-135.342736,1,Chromista
3314,Colpomenia peregrina,57.048551,-135.323496,2,Chromista
3314,Colpomenia sinuosa,57.053056,-135.33,2,Chromista
3314,Colpomenia sinuosa,57.064262,-135.339613,1,Chromista
3314,Costaria costata,57.019181,-135.240377,1,Chromista
3314,Costaria costata,57.019244,-135.2405,1,Chromista
3314,Costaria costata,57.022499,-135.35387,2,Chromista
3314,Costaria costata,57.033333,-135.35,5,Chromista
3314,Costaria costata,57.033333,-135.327778,1,Chromista
3314,Costaria costata,57.03464,-135.31403,1,Chromista
3314,Costaria costata,57.03467,-135.315295,1,Chromista
3314,Costaria costata,57.040056,-135.349972,1,Chromista
3314,Costaria costata,57.041667,-135.346667,1,Chromista
3314,Costaria costata,57.042889,-135.310096,1,Chromista
3314,Costaria costata,57.045666,-135.310535,1,Chromista
3314,Costaria costata,57.048698,-135.32314,2,Chromista
3314,Costaria costata,57.055428,-135.34975,1,Chromista
3314,Costaria costata,57.133333,-135.25,4,Chromista
3314,Cylindrotheca closterium,57.019933,-135.257366,1,Chromista
3314,Cymathaere triplicata,57.033333,-135.35,2,Chromista
3314,Cymathaere triplicata,57.044087,-135.31471,1,Chromista
3314,Cymathaere triplicata,57.045306,-135.315814,1,Chromista
3314,Cymathaere triplicata,57.046594,-135.321179,1,Chromista
3314,Cymathaere triplicata,57.133333,-135.25,1,Chromista
3314,Cymathaere triplicata,57.141667,-135.586667,1,Chromista
3314,Cymathaere triplicata,57.151079,-135.56664,1,Chromista
3314,Cymathaere triplicata,57.151103,-135.567701,1,Chromista
3314,Cymathaere triplicata,57.159867,-135.569916,1,Chromista
3314,"Cystophyllum J.Agardh, 1848",56.858016,-135.021225,1,Chromista
3314,Dactylosiphon bullosus,57.035094,-135.315144,1,Chromista
3314,Dactylosiphon bullosus,57.064262,-135.339613,1,Chromista
3314,"Desmarestia J.V.F.Lamouroux, 1813",57.033333,-135.35,1,Chromista
3314,Desmarestia aculeata,57.033333,-135.35,1,Chromista
3314,Desmarestia aculeata,57.036667,-135.343333,1,Chromista
3314,Desmarestia aculeata,57.038333,-135.338333,1,Chromista
3314,Desmarestia aculeata,57.044411,-135.313292,1,Chromista
3314,Desmarestia aculeata,57.044928,-135.311894,1,Chromista
3314,Desmarestia aculeata,57.047288,-135.316924,1,Chromista
3314,Desmarestia aculeata,57.048511,-135.322706,1,Chromista
3314,Desmarestia aculeata,57.133333,-135.25,3,Chromista
3314,Desmarestia aculeata,57.15,-135.591667,1,Chromista
3314,Desmarestia intermedia,57.053414,-135.349681,1,Chromista
3314,Desmarestia ligulata,57,-135.35,1,Chromista
3314,Desmarestia ligulata,57.004078,-135.762997,1,Chromista
3314,Desmarestia ligulata,57.022499,-135.35387,6,Chromista
3314,Desmarestia ligulata,57.033333,-135.35,6,Chromista
3314,Desmarestia ligulata,57.048698,-135.32314,6,Chromista
3314,Desmarestia viridis,56.858016,-135.021225,1,Chromista
3314,Desmarestia viridis,57.033333,-135.35,4,Chromista
3314,Desmarestia viridis,57.133333,-135.25,1,Chromista
3314,Dictyoneurum californicum,57.022499,-135.35387,2,Chromista
3314,Dictyoneurum californicum,57.048698,-135.32314,2,Chromista
3314,Dictyopteris polypodioides,56.855355,-135.01689,1,Chromista
3314,Dictyopteris polypodioides,57.053056,-135.33,11,Chromista
3314,Dictyopteris polypodioides,57.14251,-135.33262,4,Chromista
3314,Dictyopteris undulata,57.022499,-135.35387,2,Chromista
3314,Dictyopteris undulata,57.048698,-135.32314,2,Chromista
