hexID,species,LAT,LON,NumObs,kingdom
23835,Nitrososphaeraceae,-9.4447,147.3486,2,Archaea
23835,Acetobacteraceae,-9.4447,147.3486,1,Bacteria
23835,"Acidicaldus Johnson et al., 2006",-9.4447,147.3486,5,Bacteria
23835,Acidicapsa borealis,-9.4447,147.3486,1,Bacteria
23835,Acidobacteriae,-9.4447,147.3486,1,Bacteria
23835,Acidothermaceae,-9.4447,147.3486,1,Bacteria
23835,"Acidothermus Mohagheghi et al., 1986",-9.4447,147.3486,26,Bacteria
23835,Acinetobacter baumannii,-9.4447,147.3486,1,Bacteria
23835,"Afipia Brenner et al., 1992",-9.4447,147.3486,1,Bacteria
23835,"Allorhizobium de Lajudie, Laurent-Fulele, Willems, Torck, Coopman, Collins, Kersters, Dreyfus & Gillis, 1998",-9.4447,147.3486,2,Bacteria
23835,Alphaproteobacteria,-9.4447,147.3486,2,Bacteria
23835,"Aquisphaera Bondoso et al., 2011",-9.4447,147.3486,15,Bacteria
23835,"Asticcacaulis Poindexter, 1964",-9.4447,147.3486,2,Bacteria
23835,"Bacteriovorax Baer et al., 2000",-9.4447,147.3486,1,Bacteria
23835,Bacterium Ehrenberg,-9.4447,147.3486,1,Bacteria
23835,"Bdellovibrio Stolp & Starr, 1963",-9.4447,147.3486,3,Bacteria
23835,"Bosea Das et al., 1996",-9.4447,147.3486,1,Bacteria
23835,"Bradyrhizobium Jordan, 1982",-9.4447,147.3486,24,Bacteria
23835,"Bryobacter Kulichevskaya et al., 2010",-9.4447,147.3486,32,Bacteria
23835,"Burkholderia Yabuuchi et al., 1993",-9.4447,147.3486,5,Bacteria
23835,Burkholderiales,-9.4447,147.3486,10,Bacteria
23835,"Caulobacter Henrici & Johnson, 1935",-9.4447,147.3486,3,Bacteria
23835,Caulobacteraceae,-9.4447,147.3486,17,Bacteria
23835,"Chthoniobacter Sangwan et al., 2004",-9.4447,147.3486,5,Bacteria
23835,Chthoniobacteraceae,-9.4447,147.3486,1,Bacteria
23835,"Cloacibacterium Allen et al., 2006",-9.4447,147.3486,1,Bacteria
23835,Cloacibacterium normanense,-9.4447,147.3486,1,Bacteria
23835,Clostridium magnum,-9.4447,147.3486,1,Bacteria
23835,Comamonadaceae,-9.4447,147.3486,3,Bacteria
23835,"Corallococcus Reichenbach, 2007",-9.4447,147.3486,1,Bacteria
23835,Corynebacterium,-9.4447,147.3486,1,Bacteria
23835,"Dactylosporangium Thiemann et al., 1967",-9.4447,147.3486,1,Bacteria
23835,"Devosia Nakagawa et al., 1996",-9.4447,147.3486,2,Bacteria
23835,Dickeya chrysanthemi,-9.478472,147.148058,1,Bacteria
23835,Dinghuibacter silviterrae,-9.4447,147.3486,1,Bacteria
23835,"Dokdonella Yoon et al., 2006",-9.4447,147.3486,1,Bacteria
23835,"Dyella Xie & Yokota, 2005",-9.4447,147.3486,1,Bacteria
23835,"Edaphobacter Koch et al., 2008",-9.4447,147.3486,7,Bacteria
23835,Edaphobacter acidisoli,-9.4447,147.3486,1,Bacteria
23835,Elsteraceae,-9.4447,147.3486,1,Bacteria
23835,Elsterales,-9.4447,147.3486,102,Bacteria
23835,"Flavobacterium Bergey et al., 1923",-9.4447,147.3486,2,Bacteria
23835,"Granulicella Pankratov & Dedysh, 2010",-9.4447,147.3486,3,Bacteria
23835,"Haliangium Fudou et al., 2002",-9.4447,147.3486,19,Bacteria
23835,"Hirschia Schlesner et al., 1990",-9.4447,147.3486,2,Bacteria
23835,"Hyphomicrobium Stutzer & Hartleb, 1899",-9.4447,147.3486,3,Bacteria
